Column1,Column12,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
R,2,8.50541,-0.582556,2.23409,1.47701E+15,7.1,-4.7,0.908302,-2.72489
L,1,7.14735,-4.86125,,1.47701E+15,7.15,-4.85,0.908297,-2.72489
R,2,8.88902,-0.604494,3.05765,1.47701E+15,7.25,-5,1.81907,-2.72861
L,1,7.30424,-5.15404,,1.47701E+15,7.35,-5.15,1.81907,-2.72861
R,2,8.97814,-0.622421,2.42827,1.47701E+15,7.4,-5.3,0.908194,-2.7246
L,1,7.44737,-5.45308,,1.47701E+15,7.45,-5.45,0.90819,-2.72457
R,2,9.4762,-0.63468,2.54048,1.47701E+15,7.55,-5.55,1.81974,-1.81974
L,1,7.64356,-5.66706,,1.47701E+15,7.65,-5.65,1.81972,-1.81972
R,2,9.53172,-0.647271,2.40306,1.47701E+15,7.7,-5.8,0.90983,-2.72951
L,1,7.7342,-5.95374,,1.47701E+15,7.75,-5.95,0.909826,-2.72948
R,2,9.89957,-0.659824,3.5853,1.47701E+15,7.85,-6.1,1.9986,-2.9979
L,1,7.95703,-6.24328,,1.47701E+15,7.95,-6.25,1.99858,-2.99787
R,2,10.4099,-0.66785,2.53218,1.47701E+15,8.05,-6.35,1.81738,-1.81739
L,1,8.15891,-6.45335,,1.47701E+15,8.15,-6.45,1.81737,-1.81737
R,2,10.3865,-0.678464,2.50771,1.47701E+15,8.2,-6.6,0.909293,-2.72787
L,1,8.25411,-6.74791,,1.47701E+15,8.25,-6.75,0.909293,-2.72787
R,2,10.6843,-0.687607,2.70793,1.47701E+15,8.35,-6.85,1.81994,-1.81993
L,1,8.44494,-6.95805,,1.47701E+15,8.45,-6.95,1.81993,-1.81993
R,2,10.9406,-0.696337,2.56416,1.47701E+15,8.5,-7.1,1.00006,-3.00018
L,1,8.54925,-7.24433,,1.47701E+15,8.55,-7.25,1.00006,-3.00018
R,2,11.3727,-0.707378,3.44956,1.47701E+15,8.65,-7.4,1.99807,-2.99712
L,1,8.73559,-7.5421,,1.47701E+15,8.75,-7.55,1.99808,-2.99712
R,2,11.7598,-0.716035,2.04742,1.47701E+15,8.8,-7.65,0.909955,-1.8199
L,1,8.84538,-7.75497,,1.47701E+15,8.85,-7.75,0.909946,-1.81988
R,2,11.8789,-0.726017,2.80161,1.47701E+15,8.9,-7.9,0.999086,-2.9973
L,1,8.95966,-8.0381,,1.47701E+15,8.95,-8.05,0.999095,-2.9973
R,2,11.9442,-0.735521,1.86678,1.47701E+15,9,-8.15,0.909309,-1.8186
L,1,9.05896,-8.24314,,1.47701E+15,9.05,-8.25,0.909301,-1.81859
R,2,12.4893,-0.745345,2.79706,1.47701E+15,9.1,-8.4,1.0004,-3.00119
L,1,9.15332,-8.54857,,1.47701E+15,9.15,-8.55,1.00038,-3.00117
R,2,12.6764,-0.755304,1.92258,1.47701E+15,9.2,-8.65,0.909508,-1.819
L,1,9.24541,-8.76863,,1.47701E+15,9.25,-8.75,0.9095,-1.81899
R,2,13.0018,-0.765199,4.2891,1.47701E+15,9.35,-8.95,1.99965,-3.99928
L,1,9.44703,-9.15328,,1.47701E+15,9.45,-9.15,1.99964,-3.99928
R,2,13.2646,-0.772362,2.209,1.47701E+15,9.5,-9.25,0.999584,-1.99917
L,1,9.54157,-9.35195,,1.47701E+15,9.55,-9.35,0.999584,-1.99917
R,2,13.3655,-0.782802,2.24797,1.47701E+15,9.55,-9.5,0,-3.00023
L,1,9.54779,-9.64959,,1.47701E+15,9.55,-9.65,0,-3.0002
R,2,13.8483,-0.794831,2.85181,1.47701E+15,9.6,-9.8,0.999005,-2.997
L,1,9.64606,-9.9341,,1.47701E+15,9.65,-9.95,0.998995,-2.997
R,2,13.8368,-0.803954,1.95724,1.47701E+15,9.7,-10.05,0.909855,-1.81969
L,1,9.73801,-10.1396,,1.47701E+15,9.75,-10.15,0.909847,-1.81969
R,2,14.4307,-0.812263,2.35389,1.47701E+15,9.75,-10.3,0,-3.00065
L,1,9.75524,-10.4732,,1.47701E+15,9.75,-10.45,0,-3.00063
R,2,14.3135,-0.824455,2.63112,1.47701E+15,9.8,-10.6,0.90817,-2.72451
L,1,9.85048,-10.7526,,1.47701E+15,9.85,-10.75,0.908161,-2.72448
R,2,14.7429,-0.835956,1.92166,1.47701E+15,9.85,-10.9,0,-2.73074
L,1,9.83614,-11.041,,1.47701E+15,9.85,-11.05,0,-2.73073
R,2,14.8851,-0.848604,2.27417,1.47701E+15,9.85,-11.2,0,-2.99965
L,1,9.84568,-11.3496,,1.47701E+15,9.85,-11.35,0,-2.99961
R,2,15.2094,-0.863774,2.26264,1.47701E+15,9.85,-11.5,0,-2.99843
L,1,9.83206,-11.6307,,1.47701E+15,9.85,-11.65,0,-2.99843
R,2,15.413,-0.877244,0.866545,1.47701E+15,9.8,-11.75,-1.0003,-2.00061
L,1,9.74928,-11.8442,,1.47701E+15,9.75,-11.85,-1.00029,-2.00059
R,2,15.4054,-0.88995,1.77828,1.47701E+15,9.7,-12,-1.0004,-3.00119
L,1,9.65354,-12.1497,,1.47701E+15,9.65,-12.15,-1.00039,-3.00116
R,2,15.7547,-0.905673,1.01994,1.47701E+15,9.6,-12.25,-0.999885,-1.99981
L,1,9.54859,-12.3478,,1.47701E+15,9.55,-12.35,-0.999884,-1.99979
R,2,15.5466,-0.922266,0.369379,1.47701E+15,9.45,-12.45,-1.99803,-1.99805
L,1,9.36086,-12.5501,,1.47701E+15,9.35,-12.55,-1.99804,-1.99804
R,2,15.7759,-0.936847,0.912459,1.47701E+15,9.3,-12.65,-0.909773,-1.81953
L,1,9.22134,-12.7613,,1.47701E+15,9.25,-12.75,-0.909773,-1.81954
R,2,15.9017,-0.95744,-0.700602,1.47701E+15,9.05,-12.85,-3.99257,-1.99629
L,1,8.84161,-12.9519,,1.47701E+15,8.85,-12.95,-3.99253,-1.99627
R,2,15.6195,-0.978773,-0.291637,1.47701E+15,8.75,-13,-1.8213,-0.910651
L,1,8.66358,-13.0431,,1.47701E+15,8.65,-13.05,-1.8213,-0.910651
R,2,15.6995,-0.995246,-0.795374,1.47701E+15,8.5,-13.1,-2.997,-0.999005
L,1,8.35763,-13.1557,,1.47701E+15,8.35,-13.15,-2.997,-0.998995
R,2,15.5295,-1.0123,-1.48799,1.47701E+15,8.2,-13.15,-2.72741,0
L,1,8.03583,-13.1513,,1.47701E+15,8.05,-13.15,-2.72742,0
R,2,15.2205,-1.03051,-1.3479,1.47701E+15,7.9,-13.15,-2.72986,0
L,1,7.76538,-13.1647,,1.47701E+15,7.75,-13.15,-2.72986,0
R,2,15.3557,-1.04843,-0.489357,1.47701E+15,7.6,-13.2,-2.9979,-0.999304
L,1,7.44786,-13.2517,,1.47701E+15,7.45,-13.25,-2.9979,-0.999304
R,2,14.9523,-1.06755,-1.47147,1.47701E+15,7.3,-13.25,-2.72846,0
L,1,7.16011,-13.2382,,1.47701E+15,7.15,-13.25,-2.72844,0
R,2,14.6741,-1.08244,-2.33868,1.47701E+15,7,-13.2,-2.99784,0.999284
L,1,6.84891,-13.1493,,1.47701E+15,6.85,-13.15,-2.99784,0.999284
R,2,14.8668,-1.09768,-2.01344,1.47701E+15,6.7,-13.1,-2.72787,0.909275
L,1,6.55759,-13.0679,,1.47701E+15,6.55,-13.05,-2.72787,0.909284
R,2,14.5623,-1.11566,-1.26682,1.47701E+15,6.4,-13.05,-2.72678,0
L,1,6.26174,-13.0534,,1.47701E+15,6.25,-13.05,-2.72678,0
R,2,14.3675,-1.1322,-1.86783,1.47701E+15,6.1,-13,-2.72966,0.909888
L,1,5.94198,-12.9494,,1.47701E+15,5.95,-12.95,-2.72963,0.90988
R,2,14.0957,-1.14684,-3.18942,1.47701E+15,5.8,-12.85,-2.99777,1.99851
L,1,5.65107,-12.7365,,1.47701E+15,5.65,-12.75,-2.99778,1.99852
R,2,13.7247,-1.15804,-1.68433,1.47701E+15,5.55,-12.7,-1.81798,0.908995
L,1,5.43839,-12.652,,1.47701E+15,5.45,-12.65,-1.81799,0.908995
R,2,13.5474,-1.17084,-2.84649,1.47701E+15,5.3,-12.55,-2.72627,1.81753
L,1,5.1307,-12.4684,,1.47701E+15,5.15,-12.45,-2.72625,1.8175
R,2,13.369,-1.18389,-2.36817,1.47701E+15,5.05,-12.35,-1.8199,1.81989
L,1,4.92985,-12.2499,,1.47701E+15,4.95,-12.25,-1.81991,1.8199
R,2,12.8878,-1.19328,-2.72149,1.47701E+15,4.85,-12.15,-1.99928,1.99929
L,1,4.75915,-12.0666,,1.47701E+15,4.75,-12.05,-1.99928,1.99928
R,2,12.7991,-1.19553,-2.86727,1.47701E+15,4.7,-11.9,-0.908236,2.72471
L,1,4.64378,-11.7442,,1.47701E+15,4.65,-11.75,-0.908231,2.7247
R,2,12.4969,-1.19406,-2.03943,1.47701E+15,4.6,-11.65,-0.909847,1.81971
L,1,4.54975,-11.5706,,1.47701E+15,4.55,-11.55,-0.909843,1.81969
R,2,12.2162,-1.1958,-4.32322,1.47701E+15,4.5,-11.35,-1.0008,4.0032
L,1,4.44059,-11.1496,,1.47701E+15,4.45,-11.15,-1.0008,4.00321
R,2,11.8835,-1.18814,-1.82178,1.47701E+15,4.45,-11.05,0,1.81614
L,1,4.45136,-10.93,,1.47701E+15,4.45,-10.95,0,1.81612
R,2,11.6669,-1.1797,-2.64222,1.47701E+15,4.45,-10.8,0,2.72555
L,1,4.45788,-10.6457,,1.47701E+15,4.45,-10.65,0,2.72554
R,2,11.4789,-1.17144,-2.50005,1.47701E+15,4.45,-10.5,0,2.729
L,1,4.44057,-10.3382,,1.47701E+15,4.45,-10.35,0,2.72898
R,2,11.1898,-1.15508,-2.26227,1.47701E+15,4.5,-10.2,0.908962,2.72687
L,1,4.54925,-10.0439,,1.47701E+15,4.55,-10.05,0.908954,2.72685
R,2,10.9942,-1.13588,-2.23426,1.47701E+15,4.6,-9.9,0.909756,2.72927
L,1,4.63755,-9.74952,,1.47701E+15,4.65,-9.75,0.909752,2.72926
R,2,10.4986,-1.11645,-2.34038,1.47701E+15,4.7,-9.6,0.90859,2.72578
L,1,4.74589,-9.4609,,1.47701E+15,4.75,-9.45,0.908586,2.72576
R,2,10.592,-1.09073,-1.62445,1.47701E+15,4.85,-9.3,1.81967,2.72952
L,1,4.94849,-9.13867,,1.47701E+15,4.95,-9.15,1.81967,2.72951
R,2,10.2398,-1.06602,-1.22863,1.47701E+15,5,-9.05,0.999884,1.99977
L,1,5.04121,-8.94979,,1.47701E+15,5.05,-8.95,0.999874,1.99974
R,2,10.3027,-1.04083,-1.33508,1.47701E+15,5.15,-8.8,1.81805,2.72708
L,1,5.26887,-8.63564,,1.47701E+15,5.25,-8.65,1.81803,2.72705
R,2,10.116,-1.01021,-0.66468,1.47701E+15,5.35,-8.55,1.99956,1.99957
L,1,5.44864,-8.42738,,1.47701E+15,5.45,-8.45,1.99954,1.99954
R,2,10.1164,-0.988358,-0.754614,1.47701E+15,5.5,-8.35,0.909045,1.81807
L,1,5.53862,-8.24357,,1.47701E+15,5.55,-8.25,0.909045,1.81808
R,2,9.81408,-0.957431,-0.747175,1.47701E+15,5.7,-8.1,2.72608,2.72608
L,1,5.85094,-7.95601,,1.47701E+15,5.85,-7.95,2.72606,2.72606
R,2,9.834,-0.9229,-0.425811,1.47701E+15,5.95,-7.85,1.81801,1.81801
L,1,6.05986,-7.73559,,1.47701E+15,6.05,-7.75,1.81802,1.81801
R,2,9.79397,-0.893547,-0.362809,1.47701E+15,6.15,-7.65,1.81798,1.81798
L,1,6.25659,-7.54336,,1.47701E+15,6.25,-7.55,1.81798,1.81798
R,2,9.82626,-0.862628,-0.124766,1.47701E+15,6.35,-7.45,1.82027,1.82027
L,1,6.452,-7.36418,,1.47701E+15,6.45,-7.35,1.82025,1.82025
R,2,9.61034,-0.830934,0.570221,1.47701E+15,6.6,-7.25,2.99862,1.99908
L,1,6.7556,-7.14598,,1.47701E+15,6.75,-7.15,2.99862,1.99908
R,2,9.63222,-0.803469,-0.456175,1.47701E+15,6.8,-7.05,0.908005,1.816
L,1,6.86356,-6.94732,,1.47701E+15,6.85,-6.95,0.908,1.81601
R,2,9.90965,-0.773882,0.725797,1.47701E+15,7,-6.85,2.72856,1.81904
L,1,7.15695,-6.75136,,1.47701E+15,7.15,-6.75,2.72854,1.81902
R,2,9.90034,-0.741696,-0.0555249,1.47701E+15,7.25,-6.65,1.8202,1.8202
L,1,7.35505,-6.56058,,1.47701E+15,7.35,-6.55,1.82018,1.82018
R,2,9.97586,-0.714582,1.59387,1.47701E+15,7.5,-6.5,2.99964,0.999884
L,1,7.65664,-6.46417,,1.47701E+15,7.65,-6.45,2.99964,0.999884
R,2,9.95941,-0.690878,0.851221,1.47701E+15,7.75,-6.4,1.81709,0.908549
L,1,7.85193,-6.35845,,1.47701E+15,7.85,-6.35,1.81709,0.908545
R,2,10.1984,-0.663884,0.962109,1.47701E+15,8,-6.25,2.72931,1.81954
L,1,8.13749,-6.14586,,1.47701E+15,8.15,-6.15,2.72928,1.81952
R,2,10.1836,-0.632288,0.481433,1.47701E+15,8.25,-6.05,1.99977,1.99976
L,1,8.33626,-5.94674,,1.47701E+15,8.35,-5.95,1.99977,1.99976
R,2,10.3458,-0.606064,1.70327,1.47701E+15,8.5,-5.9,2.72796,0.909326
L,1,8.65894,-5.86309,,1.47701E+15,8.65,-5.85,2.72796,0.909321
R,2,10.4847,-0.579689,0.558938,1.47701E+15,8.75,-5.75,1.81776,1.81775
L,1,8.85444,-5.64273,,1.47701E+15,8.85,-5.65,1.81774,1.81773
R,2,10.6216,-0.5556,0.704075,1.47701E+15,8.95,-5.55,1.99657,1.99656
L,1,9.05088,-5.45385,,1.47701E+15,9.05,-5.45,1.99654,1.99655
R,2,10.4783,-0.529976,1.82891,1.47701E+15,9.2,-5.4,2.72728,0.909094
L,1,9.34223,-5.32623,,1.47701E+15,9.35,-5.35,2.72727,0.90909
R,2,10.7468,-0.506831,0.586321,1.47701E+15,9.45,-5.25,1.81816,1.81815
L,1,9.55303,-5.13194,,1.47701E+15,9.55,-5.15,1.81813,1.81813
R,2,11.0251,-0.485669,0.713422,1.47701E+15,9.65,-5.05,1.82036,1.82036
L,1,9.7586,-4.93134,,1.47701E+15,9.75,-4.95,1.82036,1.82037
R,2,11.0505,-0.456323,0.657997,1.47701E+15,9.85,-4.85,1.81578,1.81577
L,1,9.95641,-4.74358,,1.47701E+15,9.95,-4.75,1.81575,1.81575
R,2,10.9882,-0.426704,0.528965,1.47701E+15,10.05,-4.6,1.82039,2.7306
L,1,10.1428,-4.45119,,1.47701E+15,10.15,-4.45,1.8204,2.7306
R,2,11.0542,-0.396158,0.638313,1.47701E+15,10.25,-4.3,1.81769,2.72652
L,1,10.3644,-4.16342,,1.47701E+15,10.35,-4.15,1.81768,2.7265
R,2,11.372,-0.37096,1.28476,1.47701E+15,10.45,-4.05,1.81792,1.81792
L,1,10.5415,-3.9454,,1.47701E+15,10.55,-3.95,1.8179,1.8179
R,2,11.3808,-0.345253,0.931803,1.47701E+15,10.65,-3.85,1.81903,1.81904
L,1,10.7616,-3.75002,,1.47701E+15,10.75,-3.75,1.81902,1.81903
R,2,11.3814,-0.322404,0.133015,1.47701E+15,10.8,-3.6,0.909773,2.72931
L,1,10.8527,-3.46164,,1.47701E+15,10.85,-3.45,0.909764,2.72928
R,2,11.4462,-0.292989,1.29006,1.47701E+15,10.95,-3.3,1.99953,2.99928
L,1,11.0447,-3.1561,,1.47701E+15,11.05,-3.15,1.9995,2.99925
R,2,11.5123,-0.262561,0.101622,1.47701E+15,11.1,-3,0.907725,2.72317
L,1,11.1427,-2.86566,,1.47701E+15,11.15,-2.85,0.907708,2.72314
R,2,11.4671,-0.236058,0.314142,1.47701E+15,11.2,-2.7,0.908929,2.72678
L,1,11.2525,-2.55311,,1.47701E+15,11.25,-2.55,0.908929,2.72678
R,2,11.3669,-0.209323,-1.44784,1.47701E+15,11.2,-2.4,-0.909276,2.72782
L,1,11.1594,-2.25598,,1.47701E+15,11.15,-2.25,-0.909276,2.72782
R,2,11.3977,-0.185161,1.33719,1.47701E+15,11.25,-2.1,1.81915,2.72871
L,1,11.3525,-1.95787,,1.47701E+15,11.35,-1.95,1.81913,2.72869
R,2,11.4428,-0.157524,-0.25794,1.47701E+15,11.35,-1.8,0,2.73035
L,1,11.3326,-1.67041,,1.47701E+15,11.35,-1.65,0,2.73033
R,2,11.156,-0.129749,-1.14303,1.47701E+15,11.3,-1.5,-0.999165,2.99748
L,1,11.2595,-1.35818,,1.47701E+15,11.25,-1.35,-0.999155,2.99745
R,2,11.2341,-0.110312,-1.10131,1.47701E+15,11.2,-1.25,-0.909822,1.81964
L,1,11.1524,-1.15803,,1.47701E+15,11.15,-1.15,-0.909822,1.81964
R,2,10.8931,-0.0853934,-2.22217,1.47701E+15,11.05,-0.95,-1.99817,3.99632
L,1,10.9584,-0.728742,,1.47701E+15,10.95,-0.75,-1.99816,3.99632
R,2,10.881,-0.0609808,-1.03306,1.47701E+15,10.9,-0.649999,-0.908549,1.8171
L,1,10.8648,-0.553034,,1.47701E+15,10.85,-0.549999,-0.908532,1.81708
R,2,10.8539,-0.0403174,-1.94494,1.47701E+15,10.75,-0.45,-1.8174,1.81738
L,1,10.6542,-0.347474,,1.47701E+15,10.65,-0.35,-1.8174,1.81738
R,2,10.5091,-0.0233211,-3.0395,1.47701E+15,10.5,-0.25,-2.72796,1.81864
L,1,10.3438,-0.150982,,1.47701E+15,10.35,-0.15,-2.72796,1.81864
R,2,10.4887,-0.00774292,-1.83176,1.47701E+15,10.25,-0.0999996,-1.81964,0.909826
L,1,10.1537,-0.0482457,,1.47701E+15,10.15,-0.0499992,-1.81963,0.909818
R,2,9.92588,0.000398758,-2.61508,1.47701E+15,10,9.49949E-07,-2.73049,0.910169
L,1,9.85676,0.0351738,,1.47701E+15,9.85,0.0500011,-2.73047,0.910161
R,2,9.63991,0.00607597,-2.70663,1.47701E+15,9.7,0.0500011,-2.72439,0
L,1,9.54669,0.0374948,,1.47701E+15,9.55,0.0500011,-2.72438,0
R,2,9.3231,0.0120556,-2.76994,1.47701E+15,9.4,0.100001,-2.72773,0.90923
L,1,9.24446,0.153574,,1.47701E+15,9.25,0.15,-2.7277,0.909222
R,2,9.06362,0.022153,-2.70076,1.47701E+15,9.1,0.2,-2.72652,0.908843
L,1,8.94752,0.260272,,1.47701E+15,8.95,0.25,-2.72653,0.908843
R,2,8.90542,0.0277555,-1.84439,1.47701E+15,8.85,0.25,-1.81847,0
L,1,8.76016,0.263752,,1.47701E+15,8.75,0.25,-1.81846,0
R,2,8.46751,0.0305697,-3.6221,1.47701E+15,8.55,0.25,-3.6326,0
L,1,8.35367,0.252596,,1.47701E+15,8.35,0.25,-3.6326,0
R,2,8.05524,0.0300307,-2.66869,1.47701E+15,8.2,0.25,-2.72841,0
L,1,8.05411,0.247878,,1.47701E+15,8.05,0.25,-2.72842,0
R,2,7.78925,0.0264196,-2.568,1.47701E+15,7.9,0.2,-2.72708,-0.909025
L,1,7.74339,0.144028,,1.47701E+15,7.75,0.15,-2.72705,-0.909016
R,2,7.77406,0.0124693,-2.72796,1.47701E+15,7.6,0.100001,-2.73169,-0.910554
L,1,7.45362,0.0452052,,1.47701E+15,7.45,0.0500011,-2.73169,-0.910554
R,2,7.15342,0.00594389,-3.09184,1.47701E+15,7.3,0.0500011,-2.99789,0
L,1,7.16618,0.0287673,,1.47701E+15,7.15,0.0500011,-2.9979,0
R,2,7.1723,-0.00654331,-1.74878,1.47701E+15,7.05,-0.0499995,-1.81811,-1.81813
L,1,6.95426,-0.147757,,1.47701E+15,6.95,-0.15,-1.8181,-1.81811
R,2,6.83466,-0.0366127,-1.79644,1.47701E+15,6.85,-0.25,-1.81646,-1.81646
L,1,6.76395,-0.345347,,1.47701E+15,6.75,-0.35,-1.81645,-1.81645
R,2,6.76349,-0.0677279,-1.51625,1.47701E+15,6.65,-0.45,-1.81901,-1.819
L,1,6.54569,-0.565853,,1.47701E+15,6.55,-0.549999,-1.81899,-1.81898
R,2,6.60824,-0.114463,-0.485037,1.47701E+15,6.5,-0.749999,-0.909789,-3.63914
L,1,6.4494,-0.940848,,1.47701E+15,6.45,-0.949999,-0.909781,-3.63911
R,2,6.53751,-0.171029,-0.566473,1.47701E+15,6.4,-1.1,-1.0002,-3.00061
L,1,6.34405,-1.26138,,1.47701E+15,6.35,-1.25,-1.0002,-3.00061
R,2,6.5388,-0.210302,-0.373814,1.47701E+15,6.3,-1.35,-1.00035,-2.00072
L,1,6.25356,-1.42931,,1.47701E+15,6.25,-1.45,-1.00036,-2.00072
R,2,6.45227,-0.252379,0.843797,1.47701E+15,6.25,-1.6,0,-2.99288
L,1,6.23547,-1.75335,,1.47701E+15,6.25,-1.75,0,-2.99285
R,2,6.69539,-0.29245,1.51218,1.47701E+15,6.3,-1.9,0.909739,-2.72921
L,1,6.34873,-2.05372,,1.47701E+15,6.35,-2.05,0.909735,-2.72921
R,2,6.91179,-0.333634,0.908899,1.47701E+15,6.35,-2.2,0,-2.72782
L,1,6.36917,-2.33894,,1.47701E+15,6.35,-2.35,0,-2.72779
R,2,6.75717,-0.381912,1.23154,1.47701E+15,6.35,-2.55,0,-3.63689
L,1,6.34287,-2.73391,,1.47701E+15,6.35,-2.75,0,-3.63689
R,2,7.08951,-0.424996,2.12667,1.47701E+15,6.4,-2.9,0.908854,-2.72658
L,1,6.43866,-3.06257,,1.47701E+15,6.45,-3.05,0.908859,-2.72658
R,2,7.23743,-0.457996,2.03836,1.47701E+15,6.5,-3.2,0.908863,-2.72658
L,1,6.53579,-3.34211,,1.47701E+15,6.55,-3.35,0.908855,-2.72655
R,2,7.57641,-0.485339,2.0947,1.47701E+15,6.6,-3.5,0.908714,-2.72613
L,1,6.64657,-3.63945,,1.47701E+15,6.65,-3.65,0.908702,-2.72611
R,2,7.7195,-0.517274,2.30516,1.47701E+15,6.7,-3.8,0.909565,-2.72871
L,1,6.74885,-3.96368,,1.47701E+15,6.75,-3.95,0.909561,-2.72869
R,2,7.86967,-0.543033,2.16903,1.47701E+15,6.8,-4.1,0.908566,-2.72568
L,1,6.85796,-4.25464,,1.47701E+15,6.85,-4.25,0.908561,-2.72569
R,2,8.40442,-0.563739,3.04353,1.47701E+15,6.95,-4.4,1.81821,-2.72732
L,1,7.04679,-4.55716,,1.47701E+15,7.05,-4.55,1.81822,-2.72732
R,2,8.42068,-0.584245,2.43749,1.47701E+15,7.1,-4.7,0.91085,-2.73253
L,1,7.13435,-4.85502,,1.47701E+15,7.15,-4.85,0.910837,-2.73251
R,2,8.79053,-0.601801,2.18989,1.47701E+15,7.2,-4.95,1.00033,-2.00068
L,1,7.25317,-5.04605,,1.47701E+15,7.25,-5.05,1.00033,-2.00066
R,2,8.83775,-0.614588,3.42131,1.47701E+15,7.35,-5.2,1.9976,-2.9964
L,1,7.43604,-5.34825,,1.47701E+15,7.45,-5.35,1.9976,-2.9964
R,2,9.16064,-0.628545,1.87661,1.47701E+15,7.5,-5.45,0.908252,-1.8165
L,1,7.55662,-5.56714,,1.47701E+15,7.55,-5.55,0.908244,-1.81648
R,2,9.23072,-0.641835,2.97566,1.47701E+15,7.65,-5.7,1.81785,-2.72677
L,1,7.76459,-5.8425,,1.47701E+15,7.75,-5.85,1.81785,-2.72677
R,2,9.88168,-0.653279,1.78226,1.47701E+15,7.8,-5.95,0.909078,-1.81815
L,1,7.85921,-6.04502,,1.47701E+15,7.85,-6.05,0.909073,-1.81815
